Epoch,learning rate,training loss,training energy/scan RMSE (per atom),training energy/scan MAE (per atom),training forces[energy/scan] RMSE,training forces[energy/scan] MAE,training virial[energy/scan] RMSE (per atom),training virial[energy/scan] MAE (per atom),training mtt::dipole RMSE (per atom),training mtt::dipole MAE (per atom),validation loss,validation energy/scan RMSE (per atom),validation energy/scan MAE (per atom),validation forces[energy/scan] RMSE,validation forces[energy/scan] MAE,validation virial[energy/scan] RMSE (per atom),validation virial[energy/scan] MAE (per atom),validation mtt::dipole RMSE (per atom),validation mtt::dipole MAE (per atom)
,,,meV,meV,meV/A,meV/A,meV,meV,,,,meV,meV,meV/A,meV/A,meV,meV,,
   0,5.000e-05,2.091e+06,2.6930,2.1850,812.76,608.00,24.082,17.975,0.10925,0.087429,4.053e+05,2.9311,2.3037,813.69,607.69,25.501,19.468,0.092818,0.076960
   1,5.000e-05,2.048e+06,2.6951,2.1871,812.69,607.59,24.092,17.915,0.09882,0.079648,4.027e+05,2.9308,2.3035,813.62,607.64,25.506,19.472,0.089460,0.073389
   2,5.000e-05,2.042e+06,2.6971,2.1892,812.82,608.32,24.047,17.801,0.09776,0.078349,4.023e+05,2.9305,2.3033,813.53,607.57,25.522,19.482,0.089021,0.072704
   3,5.000e-05,2.040e+06,2.6936,2.1826,812.70,607.84,24.121,17.825,0.09707,0.078269,4.023e+05,2.9303,2.3035,813.43,607.50,25.532,19.490,0.089170,0.073338
   4,5.000e-05,2.039e+06,2.6962,2.1850,812.65,607.89,24.125,17.844,0.09737,0.078097,4.018e+05,2.9301,2.3037,813.31,607.41,25.547,19.500,0.088669,0.072812
   5,5.000e-05,2.036e+06,2.6960,2.1854,812.44,608.05,24.146,17.989,0.09642,0.077786,4.015e+05,2.9299,2.3043,813.18,607.31,25.561,19.509,0.088409,0.072511
   6,5.000e-05,2.033e+06,2.6997,2.1888,812.33,607.48,24.164,17.806,0.09606,0.077740,4.007e+05,2.9298,2.3051,813.03,607.20,25.569,19.514,0.087435,0.071716
   7,5.000e-05,2.033e+06,2.6960,2.1854,812.03,607.38,24.173,18.017,0.09573,0.077207,4.012e+05,2.9296,2.3055,812.81,607.03,25.574,19.517,0.088411,0.071452
   8,5.000e-05,2.024e+06,2.6977,2.1852,811.78,606.75,24.157,17.834,0.09502,0.076024,3.999e+05,2.9301,2.3075,812.54,606.83,25.568,19.513,0.087064,0.071657
   9,5.000e-05,2.023e+06,2.7048,2.1933,811.48,606.98,24.174,17.915,0.09365,0.075633,3.984e+05,2.9299,2.3079,812.15,606.52,25.543,19.494,0.085414,0.070055
  10,5.000e-05,2.015e+06,2.7080,2.1942,810.99,606.57,24.133,17.799,0.09304,0.074892,3.976e+05,2.9302,2.3095,811.64,606.13,25.505,19.467,0.085014,0.069114
  11,5.000e-05,2.005e+06,2.7103,2.1964,810.61,606.25,24.070,17.915,0.09102,0.072852,3.961e+05,2.9304,2.3108,810.92,605.57,25.442,19.423,0.083767,0.069103
  12,5.000e-05,1.996e+06,2.7136,2.2011,809.70,605.85,23.991,17.781,0.08961,0.072067,3.930e+05,2.9242,2.3071,809.97,604.86,25.349,19.356,0.080514,0.066002
  13,5.000e-05,1.983e+06,2.7289,2.2120,808.54,604.77,23.938,17.740,0.08824,0.071238,3.909e+05,2.9264,2.3125,808.45,603.62,25.101,19.176,0.079392,0.064165
  14,5.000e-05,1.964e+06,2.7395,2.2166,806.93,603.47,23.639,17.701,0.08396,0.067239,3.884e+05,2.9444,2.3363,806.44,602.05,24.960,19.073,0.078451,0.064078
  15,5.000e-05,1.946e+06,2.7367,2.2196,804.48,601.52,23.394,17.502,0.08258,0.065541,3.838e+05,2.9205,2.3252,803.06,599.42,24.683,18.879,0.076051,0.062050
