"Formation energies of the G3/99 dataset in units of eV."
"All density functional data, except for B3LYP and PBE0, are computed from ground-state DFT calculations published in Wellendorff, Lundgaard, Mogelhoj, Petzold, Landis, Bligaard, Norskov, and Jacobsen: BEEF-vdW etc., Phys. Rev. B (2012)."
"#","name","experiment","LDA","PBE","RPBE","PBEsol","WC","AM05","BLYP","HCTH407","TPSS","revTPSS","B3LYP","PBE0","vdW-DF","vdW-DF2","optPBE-vdW","optB88-vdW","C09-vdW","BEEF-vdW"
1,"LiH",-2.51525,-2.64109463,-2.32121552,-2.31872192,-2.35348501,-2.26907132,-2.44079286,-2.54146216,-2.56584814,-2.53534335,-2.61429461,-2.49791177,-2.74508722,-2.75732895,-2.8146915,-2.72169339,-2.70547949,-2.61589945,-2.61054008
2,"BeH",-2.16478,-2.60254682,-2.39662703,-2.34018468,-1.93970375,-1.87939333,-1.99749154,-2.03336965,-1.88327681,-1.98525275,-2.59710612,-1.81353931,-1.90894036,-2.57214831,-2.64424455,-2.56887846,-2.14653949,-2.54373513,-2.48804164
3,"CH",-3.6378,-5.84381904,-3.67222182,-3.61205053,-3.7579985,-3.67416398,-3.78452683,-3.7129546,-3.5541609,-3.77598568,-3.79052411,-3.56408791,-3.6724982,-3.8401298,-3.87627469,-3.87090004,-3.87621291,-3.8612501,-3.74216069
4,"CH2 (s3B1d)",-8.25448931,-9.21456287,-8.42158102,-8.23368324,-8.7092302,-8.56356179,-8.78417541,-8.23686615,-8.40788031,-8.61102656,-8.58148497,-8.1720975,-8.10705132,-8.4132933,-8.38293318,-8.57267347,-8.62284811,-8.73375358,-8.37953926
5,"CH2 (s1A1d)",-7.83965518,-8.62418734,-7.7619559,-7.59915815,-8.0147838,-7.82960013,-8.14593878,-7.80961234,-7.64388815,-7.87863161,-7.85941933,-7.83531877,-8.02612088,-8.02945273,-8.05980265,-8.14371486,-8.16858907,-8.21071699,-7.8554516
6,"CH3",-13.333,-14.69015731,-13.42890384,-13.14406599,-13.84934089,-13.60690595,-13.98340977,-13.31110126,-13.28814403,-13.62489496,-13.57140357,-13.22027019,-13.28965278,-13.55901804,-13.55150625,-13.7830113,-13.84884583,-13.9766551,-13.43266733
7,"CH4",-18.2206,-20.02909073,-18.2098137,-17.81525805,-18.81732504,-18.46996246,-19.06225562,-18.08841073,-18.04875091,-18.45773467,-18.41496916,-18.18596868,-18.32907026,-18.41891772,-18.38482935,-18.73974367,-18.82930523,-19.03544676,-18.21600069
8,"NH",-3.62341,-4.1384999,-3.82995032,-3.74306713,-3.90066884,-3.82458567,-3.86281183,-3.87301913,-3.51764975,-3.90099619,-3.89669981,-3.42393509,-3.54535461,-3.96495829,-4.03893042,-3.99864871,-4.00973932,-3.97232488,-3.84551838
9,"NH2",-7.88119,-9.0182379,-8.18064252,-7.96673801,-8.41766309,-8.24207466,-8.43072513,-8.22193912,-7.70490698,-8.18454798,-8.11702471,-7.60366334,-7.8161475,-8.37370482,-8.47237145,-8.50218606,-8.53840248,-8.54902232,-8.15777608
10,"NH3",-12.9218,-14.62082867,-13.10017771,-12.73321828,-13.57842311,-13.28741079,-13.71060998,-13.09573619,-12.61273103,-13.07651014,-12.98321364,-12.78312523,-13.04330991,-13.28486758,-13.35918358,-13.55456295,-13.63077525,-13.75812664,-13.01325886
