Epoch,learning rate,training loss,training energy/scan RMSE (per atom),training energy/scan MAE (per atom),training forces[energy/scan] RMSE,training forces[energy/scan] MAE,training virial[energy/scan] RMSE (per atom),training virial[energy/scan] MAE (per atom),training mtt::dipole RMSE (per atom),training mtt::dipole MAE (per atom),validation loss,validation energy/scan RMSE (per atom),validation energy/scan MAE (per atom),validation forces[energy/scan] RMSE,validation forces[energy/scan] MAE,validation virial[energy/scan] RMSE (per atom),validation virial[energy/scan] MAE (per atom),validation mtt::dipole RMSE (per atom),validation mtt::dipole MAE (per atom)
,,,meV,meV,meV/A,meV/A,meV,meV,,,,meV,meV,meV/A,meV/A,meV,meV,,
   0,5.000e-05,1.866e+03,2.6932,2.1853,812.74,607.99,24.082,17.975,0.10925,0.087417,3.726e+02,2.9309,2.3036,813.63,607.64,25.502,19.468,0.092718,0.076835
   1,5.000e-05,1.861e+03,2.6973,2.1894,812.58,607.51,24.095,17.916,0.09878,0.079601,3.722e+02,2.9308,2.3047,813.41,607.48,25.510,19.474,0.089308,0.073177
   2,5.000e-05,1.859e+03,2.7049,2.1962,812.54,608.10,24.049,17.802,0.09765,0.078224,3.718e+02,2.9321,2.3084,813.09,607.23,25.513,19.475,0.089101,0.072852
   3,5.000e-05,1.859e+03,2.7078,2.1941,812.12,607.38,24.096,17.808,0.09725,0.078424,3.713e+02,2.9325,2.3091,812.54,606.80,25.470,19.445,0.089050,0.073129
   4,5.000e-05,1.854e+03,2.7022,2.1895,811.46,606.95,24.017,17.771,0.09716,0.077935,3.700e+02,2.9281,2.3004,811.09,605.67,25.366,19.371,0.088915,0.073057
   5,5.000e-05,1.845e+03,2.6831,2.1740,809.32,605.65,23.987,17.876,0.09660,0.077960,3.676e+02,2.9264,2.2968,808.32,603.48,25.090,19.178,0.089786,0.073711
   6,5.000e-05,1.828e+03,2.6915,2.1826,805.59,602.18,23.535,17.373,0.09716,0.078612,3.618e+02,2.9219,2.2945,801.97,598.34,24.510,18.769,0.088751,0.072772
   7,5.000e-05,1.786e+03,2.6798,2.1720,796.31,594.64,22.843,17.096,0.09617,0.077851,3.495e+02,2.9221,2.2975,788.13,586.57,23.734,18.231,0.088189,0.072290
   8,5.000e-05,1.696e+03,2.6717,2.1571,777.03,577.65,22.006,16.362,0.09654,0.077510,3.208e+02,3.0708,2.4133,754.82,559.12,22.934,17.647,0.088408,0.072342
   9,5.000e-05,1.448e+03,3.0209,2.4062,719.97,532.22,22.118,16.365,0.09675,0.077625,2.258e+02,2.9340,2.3297,630.85,467.02,39.988,27.772,0.088149,0.071675
  10,5.000e-05,9.935e+02,3.6252,3.0109,593.03,440.38,37.447,25.537,0.09810,0.079110,1.652e+02,3.8338,3.1204,537.79,402.19,35.690,24.220,0.090455,0.073268
  11,5.000e-05,7.146e+02,3.8801,3.2111,501.71,377.18,28.592,19.530,0.10007,0.080059,1.230e+02,7.7060,7.1483,463.04,356.31,15.050,10.627,0.090583,0.073257
  12,5.000e-05,6.541e+02,9.0594,8.5497,471.66,364.81,34.325,19.946,0.09833,0.079507,1.243e+02,4.2274,3.4831,463.00,361.49,45.462,29.669,0.094887,0.077503
  13,5.000e-05,5.294e+02,3.5716,2.8595,428.37,333.02,23.678,14.131,0.10018,0.080887,9.836e+01,2.9467,2.3481,412.35,319.68,15.713,11.212,0.091629,0.075863
  14,5.000e-05,4.722e+02,4.9242,4.0147,402.60,313.43,17.286,12.132,0.09753,0.078171,9.350e+01,7.1619,6.6149,401.14,312.19,23.737,16.122,0.091915,0.076315
  15,5.000e-05,4.444e+02,5.6523,4.8834,388.31,302.36,19.708,13.037,0.09975,0.079805,9.651e+01,8.8103,8.3616,406.33,316.31,33.565,22.327,0.096279,0.078939
  16,5.000e-05,4.699e+02,7.2269,6.5613,400.53,312.89,32.492,21.065,0.10083,0.080586,8.177e+01,4.5694,3.8551,374.46,292.00,12.031, 8.949,0.092387,0.076404
  17,5.000e-05,4.079e+02,5.5267,4.9531,372.04,289.79,18.687,13.004,0.09956,0.079948,7.594e+01,6.5181,5.9770,360.81,281.70,10.611, 7.916,0.089340,0.073515
  18,5.000e-05,4.211e+02,6.0554,5.3947,380.46,296.82,34.596,20.599,0.09805,0.078980,7.353e+01,2.6161,2.0961,354.77,276.65,13.655, 9.724,0.089066,0.072267
  19,5.000e-05,3.567e+02,2.7191,2.2127,348.01,271.53,12.239, 9.157,0.09722,0.078033,7.454e+01,3.0988,2.5498,356.25,278.47,29.765,19.846,0.089504,0.073288
  20,5.000e-05,3.912e+02,3.4992,2.8436,360.82,282.17,29.986,19.728,0.09762,0.078337,8.062e+01,6.2672,5.7743,370.58,291.18,29.841,20.151,0.092831,0.076910
  21,5.000e-05,4.378e+02,4.7004,3.8327,382.70,299.52,46.258,26.993,0.09780,0.078464,7.042e+01,2.9060,2.2829,345.62,269.90,27.304,18.340,0.090954,0.075136
  22,5.000e-05,4.218e+02,5.2817,4.4335,381.41,299.28,35.636,22.785,0.09711,0.078182,6.975e+01,8.4170,7.9992,343.85,268.84,29.443,19.698,0.089796,0.073782
  23,5.000e-05,3.735e+02,8.6215,8.2373,353.98,276.97,34.209,21.806,0.09688,0.079010,9.552e+01,6.7522,6.2869,404.09,320.48,45.539,29.703,0.090035,0.073955
  24,5.000e-05,4.116e+02,4.7206,3.9863,371.04,291.45,39.403,24.576,0.09693,0.078524,8.735e+01,2.7023,2.1487,384.40,302.72,54.933,34.778,0.089589,0.073642
  25,5.000e-05,3.673e+02,2.9502,2.3571,351.98,275.98,35.033,21.568,0.09669,0.077560,6.071e+01,3.8447,3.2412,320.78,250.16,10.355, 7.701,0.089088,0.072912
  26,5.000e-05,3.759e+02,3.1545,2.5877,357.67,280.05,44.739,26.411,0.09681,0.078520,6.800e+01,2.7256,2.2468,340.17,266.77,20.103,13.897,0.089004,0.072797
  27,5.000e-05,3.621e+02,2.7164,2.2181,351.12,275.51,28.666,18.359,0.09660,0.077777,7.795e+01,3.1146,2.5747,362.93,285.16,47.743,30.515,0.088878,0.072790
  28,5.000e-05,3.677e+02,2.7685,2.2834,348.67,273.24,36.794,23.196,0.09647,0.077325,8.137e+01,3.1797,2.6216,372.55,294.69,36.635,24.107,0.088928,0.072664
  29,5.000e-05,3.531e+02,3.9123,3.3291,343.79,269.55,35.803,22.481,0.09703,0.077360,5.767e+01,4.3596,3.7560,311.69,243.14,21.091,14.420,0.088714,0.072557
  30,5.000e-05,3.566e+02,5.2660,4.7664,348.98,274.01,29.993,19.422,0.09671,0.078654,6.051e+01,5.6962,5.1617,319.01,249.11,29.948,19.868,0.088871,0.072783
  31,4.999e-05,3.246e+02,6.2529,5.8578,328.46,256.95,34.908,22.170,0.09628,0.077541,8.463e+01,7.0405,6.6917,379.82,301.57,40.104,26.156,0.089492,0.073495
  32,4.999e-05,3.550e+02,7.0975,6.7623,345.24,271.21,34.036,21.430,0.09656,0.077769,6.819e+01,7.1717,6.7588,338.25,265.06,44.470,28.500,0.089237,0.073106
  33,4.999e-05,3.382e+02,6.6003,6.2363,335.33,263.25,32.122,20.726,0.09647,0.077272,5.604e+01,5.3880,4.9161,307.34,240.16,10.514, 7.649,0.089321,0.073266
  34,4.999e-05,3.141e+02,6.3368,5.9506,324.82,254.12,38.684,23.174,0.09663,0.077674,5.976e+01,6.4516,6.0867,317.82,249.17,16.892,11.706,0.088970,0.072802
  35,4.999e-05,3.166e+02,7.3500,7.0472,326.39,256.32,24.934,15.793,0.09678,0.077909,7.365e+01,9.0062,8.6979,351.20,276.51,54.017,34.106,0.088552,0.072469
  36,4.999e-05,3.229e+02,8.7052,8.4584,326.61,255.98,39.451,23.456,0.09633,0.077348,6.348e+01,8.2376,7.9824,327.74,258.13,23.337,15.782,0.088781,0.072654
  37,4.999e-05,3.236e+02,9.0583,8.7962,325.97,255.55,40.786,23.352,0.09671,0.077851,5.412e+01,8.9564,8.6914,300.09,234.15,33.415,21.859,0.088658,0.072506
  38,4.999e-05,2.789e+02,9.1950,8.9877,306.27,240.00,21.836,13.968,0.09650,0.077808,6.059e+01,10.0049,9.7694,317.35,248.57,45.148,28.817,0.088735,0.072598
  39,4.999e-05,3.127e+02,10.8884,10.7074,323.80,253.74,48.467,29.105,0.09637,0.077369,5.948e+01,10.3491,10.1793,316.61,249.46,21.725,14.766,0.089060,0.073058
  40,4.999e-05,2.995e+02,10.6771,10.4889,310.35,243.50,35.520,19.760,0.09640,0.077391,7.221e+01,12.0984,11.9153,346.19,273.78,61.172,38.206,0.088654,0.072601
  41,4.999e-05,2.807e+02,11.5523,11.4084,304.70,238.97,36.035,19.921,0.09637,0.077747,4.320e+01,10.0637,9.8995,267.13,208.48,12.236, 8.782,0.088804,0.072753
  42,4.999e-05,2.868e+02,11.6173,11.4609,308.27,241.42,49.300,28.907,0.09654,0.077563,4.479e+01,11.1650,11.0395,272.48,213.50, 9.279, 6.764,0.088856,0.072852
  43,4.999e-05,2.458e+02,11.5935,11.4751,283.11,221.95,21.989,12.763,0.09665,0.077945,6.731e+01,12.2118,12.0659,332.80,263.77,63.732,39.752,0.088364,0.072339
  44,4.999e-05,2.688e+02,11.8665,11.7603,295.46,231.61,45.424,25.457,0.09671,0.077422,4.922e+01,10.7745,10.6729,286.45,226.73,17.702,12.220,0.088361,0.072262
  45,4.999e-05,2.547e+02,10.7450,10.6246,285.38,223.78,43.638,24.343,0.09659,0.077620,3.943e+01,9.6835,9.5477,252.04,196.44,35.881,23.255,0.088355,0.072138
  46,4.999e-05,2.168e+02,10.2996,10.1851,267.29,209.78,21.893,13.293,0.09652,0.076939,4.269e+01,9.5941,9.4570,262.03,204.96,44.584,28.379,0.088537,0.072281
  47,4.999e-05,2.257e+02,9.8861,9.7644,269.62,210.98,47.208,27.996,0.09654,0.077356,5.046e+01,9.2417,9.1513,289.83,230.92,23.746,15.932,0.088771,0.072620
  48,4.999e-05,2.223e+02,9.2448,9.1178,265.34,208.39,32.852,18.509,0.09646,0.077566,4.727e+01,9.0648,8.9229,275.53,216.78,54.426,34.056,0.088552,0.072566
  49,4.999e-05,2.120e+02,9.0644,8.9456,259.67,203.79,32.976,18.997,0.09653,0.077281,3.082e+01,7.8298,7.7197,222.06,174.04, 7.741, 5.753,0.088496,0.072507
  50,4.999e-05,1.873e+02,8.4459,8.3138,244.25,190.40,42.171,24.277,0.09665,0.078292,3.468e+01,7.0802,6.9715,237.02,186.88,11.851, 8.312,0.088404,0.072373
  51,4.999e-05,1.897e+02,7.4339,7.2842,248.05,194.60,21.811,13.079,0.09636,0.077780,4.292e+01,7.4776,7.3257,261.39,205.31,52.631,32.852,0.088562,0.072506
  52,4.999e-05,1.924e+02,6.9242,6.7397,243.07,189.90,37.740,22.096,0.09669,0.078132,4.354e+01,5.5093,5.3895,267.43,213.23,25.843,17.036,0.088883,0.072864
  53,4.999e-05,1.762e+02,6.1527,5.9739,234.44,182.97,34.073,19.757,0.09636,0.077829,2.458e+01,4.7121,4.5300,194.00,150.53,22.984,15.191,0.088689,0.072682
